sweep,exposure,seq_num,focus_z,physical_filter,rms_px,fwhm_px,qfm_fwhm,peak
20260624_692-706,2026062400698,698,-0.00814187340438366,empty~empty,11.913911003699742,28.057260413712893,1.4203113414213884,103410.4408569336
20260624_692-706,2026062400699,699,-0.003141873748973012,empty~empty,11.709968048442336,27.5769747540817,1.2665026638374544,102449.42761230469
20260624_692-706,2026062400700,700,0.001858126139268279,empty~empty,11.672298798799229,27.488263671172184,1.2231317658083998,101524.34899902344
20260624_692-706,2026062400701,701,0.006858126260340214,empty~empty,11.64457175034157,27.422966472054394,1.394347011945865,100728.38110351562
20260624_692-706,2026062400702,702,0.011858126148581505,empty~empty,11.876378756805861,27.968871972277803,1.5579411389737752,103828.17791748047
20260624_692-706,2026062400703,703,0.021858125925064087,empty~empty,11.842296821058087,27.888609013591793,1.4709575117681875,101109.20416259766
20260624_692-706,2026062400704,704,0.04685812443494797,empty~empty,11.776008805451376,27.73250073683799,1.7496320630192885,104149.20837402344
20260624_692-706,2026062400705,705,0.07185812294483185,empty~empty,12.349590971642444,29.083286738217954,2.178490580865153,109458.0771484375
20260624_692-706,2026062400706,706,0.09685812890529633,empty~empty,12.666300953991657,29.82913874665035,2.5104100271423766,108462.14758300781
20260630_96-110,2026063000096,96,-0.192699819803238,empty~SDSSy_65mm,13.721583467301883,32.31432906549593,2.626772139624326,25299.16094970703
20260630_96-110,2026063000097,97,-0.14269982278347,empty~SDSSy_65mm,12.596829509620193,29.665533495155554,0.696047145385898,24808.1815032959
20260630_96-110,2026063000098,98,-0.0926998257637024,empty~SDSSy_65mm,10.022110157850689,23.60206942173837,0.6891579140876398,43742.479347229004
20260630_96-110,2026063000099,99,-0.0676998198032379,empty~SDSSy_65mm,10.164060596123779,23.9363627038715,1.2533845359045839,55297.41390991211
20260630_96-110,2026063000100,100,-0.042699821293354,empty~SDSSy_65mm,9.260796176251572,21.809174995072453,1.4524903731951597,77338.46524810791
20260630_96-110,2026063000101,101,-0.017699820920825,empty~SDSSy_65mm,8.338926084405939,19.638170928775985,0.9481139806050045,109131.59577178955
20260630_96-110,2026063000102,102,-0.00269982148893178,empty~SDSSy_65mm,8.2620536991187,19.45713646142454,0.9651064432246751,104964.65316009521
20260630_96-110,2026063000103,103,0.00730017852038145,empty~SDSSy_65mm,8.68712696166649,20.458183994724582,1.2322014135433528,88667.99555206299
20260630_96-110,2026063000104,104,0.0173001773655415,empty~SDSSy_65mm,8.664179740947203,20.404143289930662,1.214272798510213,82579.04071807861
20260630_96-110,2026063000105,105,0.0323001779615879,empty~SDSSy_65mm,9.290831676282599,21.87990859764552,1.1103568797428454,52946.34735107422
20260630_96-110,2026063000106,106,0.0573001764714718,empty~SDSSy_65mm,9.970022679330077,23.479403409822332,1.3106262226244718,42941.58445739746
20260630_96-110,2026063000107,107,0.082300178706646,empty~SDSSy_65mm,9.62521705398096,22.667386162125158,1.3105798458680207,42444.16961669922
20260630_96-110,2026063000108,108,0.10730017721653,empty~SDSSy_65mm,10.436823605493965,24.578719590938288,1.3773690350334513,35207.805099487305
20260630_96-110,2026063000109,109,0.157300174236298,empty~SDSSy_65mm,11.645223255893097,27.424500767628242,0.696467470209936,23103.625900268555
20260630_96-110,2026063000110,110,0.207300186157227,empty~SDSSy_65mm,13.968410815955611,32.89560747157547,2.4420090746465144,14254.890731811523
20260630_186-200,2026063000186,186,-0.192699834704399,empty~SDSSy_65mm,14.1154285546437,33.24183424618591,0.7306061638477452,19740.77732849121
20260630_186-200,2026063000187,187,-0.142699837684631,empty~SDSSy_65mm,12.900290968925988,30.380185231820704,3.631308916914348,22383.485870361328
20260630_186-200,2026063000188,188,-0.092699833214283,empty~SDSSy_65mm,11.247636389445546,26.48818369714426,0.7232467695235809,29532.62464904785
20260630_186-200,2026063000189,189,-0.0676998347043991,empty~SDSSy_65mm,9.589464346345247,22.583188535643057,0.6842316358099565,67712.82096862793
20260630_186-200,2026063000190,190,-0.0426998324692249,empty~SDSSy_65mm,9.206922841589837,21.682303291944066,1.531429752718675,62841.77623748779
20260630_186-200,2026063000191,191,-0.0176998320966959,empty~SDSSy_65mm,8.301778359076746,19.550688035625736,0.9644492259087281,103605.26211547852
20260630_186-200,2026063000192,192,-0.00269983266480267,empty~SDSSy_65mm,8.684516883436562,20.452037260493103,1.134462196462652,96327.20260620117
20260630_186-200,2026063000193,193,0.00730016734451056,empty~SDSSy_65mm,9.131621443375705,21.504968499149786,1.4562284839082555,74420.39853668213
20260630_186-200,2026063000194,194,0.0173001661896706,empty~SDSSy_65mm,8.488638604271053,19.990743913058328,1.239176898230005,104605.56014251709
20260630_186-200,2026063000195,195,0.032300166785717,empty~SDSSy_65mm,8.546735024406422,20.127560982477124,1.3766491931847833,86336.50741577148
20260630_186-200,2026063000196,196,0.0573001652956009,empty~SDSSy_65mm,8.559838986251627,20.15842081262258,1.1712659417004203,98048.95683288574
20260630_186-200,2026063000197,197,0.0823001638054848,empty~SDSSy_65mm,9.421731929963373,22.188178695063744,1.8718946256645543,56491.65966796875
20260630_186-200,2026063000198,198,0.107300169765949,empty~SDSSy_65mm,9.738050862878945,22.933109782079914,1.954852530649363,39607.3053817749
20260630_186-200,2026063000199,199,0.157300174236298,empty~SDSSy_65mm,11.40225533031343,26.85231130288813,0.711013316237205,26401.94873046875
20260630_186-200,2026063000200,200,0.207300171256065,empty~SDSSy_65mm,14.296492648832077,33.668240187999544,0.7258972444966653,17115.139556884766
